ZIPCode,ideal_count,Latitude,Longitude
33579,3,27.785982,-82.332025
34434,3,28.997455,-82.459
33578,3,27.91306,-82.353216
33991,3,26.633965,-82.003309
33572,3,27.761904,-82.411707
34108,3,26.217511,-81.804388
33569,3,27.833426,-82.293394
33565,3,28.039158,-82.208652
34113,3,26.083202,-81.710563
34120,3,26.267611,-81.638075
34221,3,27.547868,-82.523585
34240,3,27.308396,-82.393654
33473,3,26.484227,-80.191843
34243,3,27.41294,-82.501781
33462,3,26.573124,-80.096901
33446,3,26.436502,-80.198363
33907,3,26.55417,-81.869743
32003,3,30.076671,-81.71854
33433,3,26.353153,-80.143571
32118,3,29.203674,-80.996216
32966,3,27.642095,-80.488878
32176,3,29.276825,-81.041867
32605,3,29.662658,-82.390785
32308,3,30.466316,-84.256572
32060,3,30.288669,-83.042348
32169,3,29.059949,-80.911968
32550,3,30.382442,-86.395815
32534,3,30.51851,-87.28598
32746,3,28.741701,-81.349041
32907,3,28.01239,-80.707973
32563,3,30.408059,-86.990969
32222,3,30.218683,-81.821359
32726,3,28.839509,-81.681727
33020,3,26.007778,-80.156334
32081,3,30.063089,-81.384526
32082,3,30.17866,-81.381125
32277,3,30.37025,-81.582468
32503,3,30.473007,-87.234431
32817,3,28.587444,-81.240691
32619,3,29.82521,-82.891871
32809,3,28.455886,-81.357951
32211,3,30.316604,-81.563673
32927,3,28.472901,-80.800283
32124,3,29.207728,-81.116584
32129,3,29.124231,-81.040427
32073,3,30.188408,-81.795596
32226,3,30.447536,-81.438115
32792,3,28.615731,-81.267204
32043,3,29.97805,-81.714613
33009,3,25.973785,-80.17086
33613,2,28.073133,-82.469116
32720,2,29.073685,-81.359151
33611,2,27.880604,-82.48531
34286,2,27.094944,-82.167159
32224,2,30.281677,-81.462839
33619,2,27.925025,-82.374517
33606,2,27.914384,-82.461877
34292,2,27.103939,-82.400453
33614,2,28.005339,-82.489914
34436,2,28.721727,-82.309538
32223,2,30.172156,-81.620906
33563,2,28.021745,-82.142777
33496,2,26.418362,-80.178121
33510,2,27.939205,-82.27482
34476,2,29.091947,-82.166772
33542,2,28.219584,-82.166063
34472,2,29.068097,-82.011636
